code_2010,name_2010,code_2015,name_2015,weight_2015,relation
1000,うるち米,,,0,abolished
1001,国産米Ａ,1001,うるち米Ａ,25,renamed
1002,国産米Ｂ,1002,うるち米Ｂ,34,renamed
1011,もち米,1011,もち米,3,1:1
1021,食パン,1021,食パン,30,1:1
1022,あんパン,1022,あんパン,30,1:1
1023,カレーパン,1023,カレーパン,24,1:1
1031,ゆでうどん,1031,ゆでうどん,10,1:1
1041,干しうどん,1041,干しうどん,7,1:1
1042,スパゲッティ,1042,スパゲッティ,3,1:1
1051,即席めん,1051,カップ麺,16,renamed
1052,生中華めん,1052,中華麺,11,renamed
1061,＊ゆで沖縄そば,1061,＊ゆで沖縄そば,1,1:1
1071,小麦粉,1071,小麦粉,4,1:1
1081,もち,1081,もち,11,1:1
1101,まぐろ,1101,まぐろ,23,1:1
1102,あじ,1102,あじ,6,1:1
1103,いわし,1103,いわし,3,1:1
1104,かつお,1104,かつお,7,1:1
1105,かれい,,,0,abolished
1106,さけ,1106,さけ,19,1:1
1107,さば,1107,さば,5,1:1
1108,さんま,1108,さんま,5,1:1
1110,たい,1110,たい,5,1:1
1111,ぶり,1111,ぶり,14,1:1
1112,いか,1112,いか,9,1:1
1113,たこ,1113,たこ,5,1:1
1114,えび,1114,えび,13,1:1
1131,あさり,1131,あさり,4,1:1
1132,かき（貝）,1132,かき（貝）,3,1:1
1133,ほたて貝,1133,ほたて貝,3,1:1
1141,塩さけ,1141,塩さけ,11,1:1
1142,たらこ,1142,たらこ,11,1:1
1143,しらす干し,1143,しらす干し,7,1:1
1144,干しあじ,1144,干しあじ,4,1:1
1146,煮干し,1146,煮干し,2,1:1
1150,ししゃも,1150,ししゃも,2,1:1
1151,揚げかまぼこ,1151,揚げかまぼこ,8,1:1
1152,ちくわ,1152,ちくわ,6,1:1
1153,かまぼこ,1153,かまぼこ,10,1:1
1161,かつお節,1161,かつお節,3,1:1
1163,塩辛,1163,塩辛,2,1:1
1165,魚介漬物,1165,魚介漬物,11,1:1
1166,魚介つくだ煮,1166,魚介つくだ煮,4,1:1
1167,いくら,1167,いくら,4,1:1
1173,魚介缶詰,1173,魚介缶詰,9,1:1
1201,牛肉Ａ,1201,牛肉（国産品）,43,renamed
1203,牛肉Ｂ,1203,牛肉（輸入品）,18,renamed
1211,豚肉Ａ,1211,豚肉Ａ,43,1:1
1212,豚肉Ｂ,1212,豚肉Ｂ,43,1:1
1221,鶏肉,1221,鶏肉,43,1:1
1241,レバー,,,0,abolished
1252,ハム,1252,ハム,18,1:1
1261,ソーセージ,1261,ソーセージ,23,1:1
1271,ベーコン,1271,ベーコン,8,1:1
1291,＊ポーク缶詰,1291,＊ポーク缶詰,1,1:1
1301,牛乳（配達）,1301,牛乳（配達）,2,1:1
1303,牛乳（店頭売り）,1303,牛乳（店頭売り）,39,1:1
1311,粉ミルク,1311,粉ミルク,2,1:1
1321,バター,1321,バター,3,1:1
1331,チーズ,1331,チーズ（国産品）,8,renamed
1332,チーズ（輸入品）,1332,チーズ（輸入品）,5,1:1
1333,ヨーグルト,1333,ヨーグルト,33,1:1
1341,鶏卵,1341,鶏卵,25,1:1
1401,キャベツ,1401,キャベツ,11,1:1
1402,ほうれんそう,1402,ほうれんそう,8,1:1
1403,はくさい,1403,はくさい,5,1:1
1405,ねぎ,1405,ねぎ,11,1:1
1406,レタス,1406,レタス,10,1:1
1407,もやし,1407,もやし,4,1:1
1409,ブロッコリー,1409,ブロッコリー,7,1:1
1410,アスパラガス,1410,アスパラガス,5,1:1
1411,さつまいも,1411,さつまいも,3,1:1
1412,じゃがいも,1412,じゃがいも,8,1:1
1413,さといも,1413,さといも,3,1:1
1414,だいこん,1414,だいこん,6,1:1
1415,にんじん,1415,にんじん,7,1:1
1416,ごぼう,1416,ごぼう,3,1:1
1417,たまねぎ,1417,たまねぎ,10,1:1
1419,れんこん,1419,れんこん,3,1:1
1420,ながいも,1420,ながいも,5,1:1
1421,しょうが,1421,しょうが,2,1:1
1430,えだまめ,1430,えだまめ,3,1:1
1432,さやいんげん,1432,さやいんげん,3,1:1
1433,かぼちゃ,1433,かぼちゃ,5,1:1
1434,きゅうり,1434,きゅうり,10,1:1
1435,なす,1435,なす,6,1:1
1436,トマト,1436,トマト,24,1:1
1437,ピーマン,1437,ピーマン,6,1:1
1438,生しいたけ,1438,生しいたけ,9,1:1
1439,＊にがうり,1439,にがうり,1,renamed
1440,＊とうが,1440,＊とうが,1,1:1
1442,えのきだけ,1442,えのきたけ,6,renamed
1443,しめじ,1443,しめじ,8,1:1
1451,あずき,,,0,abolished
1453,干ししいたけ,1453,干ししいたけ,2,1:1
1461,のり,1461,干しのり,10,renamed
1462,わかめ,1462,わかめ,5,1:1
1463,こんぶ,1463,こんぶ,4,1:1
1464,ひじき,1464,ひじき,3,1:1
1471,豆腐,1471,豆腐,16,1:1
1472,油揚げ,1472,油揚げ,9,1:1
1473,納豆,1473,納豆,10,1:1
1481,こんにゃく,1481,こんにゃく,6,1:1
1482,梅干し,1482,梅干し,7,1:1
1483,だいこん漬,1483,だいこん漬,6,1:1
1485,こんぶつくだ煮,1485,こんぶつくだ煮,5,1:1
1486,はくさい漬,1486,はくさい漬,3,1:1
1487,キムチ,1487,キムチ,7,1:1
1491,スイートコーン缶詰,1491,野菜缶詰,2,renamed
1501,りんごＡ,1501,りんごＡ,2,1:1
1502,りんごＢ,1502,りんごＢ,13,1:1
1511,みかん,1511,みかん,15,1:1
1513,レモン,,,0,abolished
1514,グレープフルーツ,1514,グレープフルーツ,1,1:1
1515,オレンジ,1515,オレンジ,2,1:1
1516,いよかん,,,0,abolished
,,1517,しらぬひ,2,new
1521,なし,1521,梨,6,renamed
1531,ぶどうＡ,1531,ぶどうＡ,3,1:1
1532,ぶどうＢ,1532,ぶどうＢ,5,1:1
1541,かき（果物）,1541,柿,3,renamed
1551,もも,1551,桃,4,renamed
1561,すいか,1561,すいか,4,1:1
1563,メロン,1563,メロン,3,1:1
1571,いちご,1571,いちご,11,1:1
1572,さくらんぼ,1572,さくらんぼ,3,1:1
1581,バナナ,1581,バナナ,15,1:1
1582,キウイフルーツ,1582,キウイフルーツ,5,1:1
1591,果物缶詰,1591,果物缶詰,7,1:1
1601,食用油,1601,食用油,11,1:1
1602,マーガリン,1602,マーガリン,2,1:1
1611,食塩,1611,食塩,2,1:1
1621,しょう油,1621,しょう油,7,1:1
1631,みそ,1631,みそ,8,1:1
1632,砂糖,1632,砂糖,5,1:1
1633,酢,1633,酢,3,1:1
1641,ソース,1641,ソース,3,1:1
1642,ケチャップ,1642,ケチャップ,2,1:1
1643,マヨネーズ,1643,マヨネーズ,4,1:1
1644,ジャム,1644,ジャム,5,1:1
1645,ドレッシング,1645,ドレッシング,8,1:1
1652,カレールウ,1652,カレールウ,5,1:1
1653,即席スープ,1653,乾燥スープ,10,renamed
1654,風味調味料,1654,風味調味料,8,1:1
1655,液体調味料,1655,たれ,5,renamed
1656,ふりかけ,1656,ふりかけ,6,1:1
1657,中華合わせ調味料,1657,合わせ調味料,4,renamed
1658,パスタソース,1658,パスタソース,4,1:1
,,1659,つゆ,11,new
1701,ようかん,1701,ようかん,10,1:1
1702,まんじゅう,1702,まんじゅう,17,1:1
1703,だいふく餅,1703,だいふく餅,15,1:1
1711,カステラ,1711,カステラ,5,1:1
1712,ケーキ,1712,ケーキ,25,1:1
1713,シュークリーム,1713,シュークリーム,8,1:1
1714,プリン,1714,プリン,8,1:1
,,1715,ロールケーキ,11,new
1721,ビスケット,1721,ビスケット,13,1:1
1732,あめ,1732,キャンデー,8,renamed
1741,せんべい,1741,せんべい,21,1:1
1761,チョコレート,1761,チョコレート,26,1:1
1772,落花生,1772,落花生,2,1:1
1781,チューインガム,1781,チューインガム,3,1:1
1782,アイスクリーム,1782,アイスクリーム,32,1:1
1783,ポテトチップス,1783,ポテトチップス,16,1:1
1784,ゼリー,1784,ゼリー,11,1:1
1791,弁当,1791,弁当Ａ,23,renamed
1792,調理パン,1792,調理パン,16,1:1
1793,おにぎり,1793,おにぎり,14,1:1
1794,冷凍調理ピラフ,1794,冷凍調理ピラフ,6,1:1
1795,すし（弁当）,1795,すし（弁当）Ａ,28,renamed
1796,調理パスタ,1796,調理パスタ,4,1:1
,,1797,弁当Ｂ,23,new
,,1798,すし（弁当）Ｂ,14,new
,,1799,調理ピザパイ,4,new
1801,うなぎかば焼き,1801,うなぎかば焼き,10,1:1
1802,焼き魚,1802,焼き魚,14,1:1
1811,サラダ,1811,サラダ,17,1:1
1812,煮豆,1812,煮豆,3,1:1
1813,きんぴら,1813,きんぴら,14,1:1
,,1814,焼豚,14,new
1821,コロッケ,1821,コロッケ,14,1:1
1831,豚カツ,1831,豚カツ,13,1:1
1842,からあげ,1842,からあげ,28,1:1
1843,やきとり,1843,やきとり,8,1:1
1851,冷凍調理コロッケ,1851,冷凍調理コロッケ,13,1:1
1852,冷凍調理ハンバーグ,1852,冷凍調理ハンバーグ,13,1:1
1871,調理カレー,1871,調理カレー,5,1:1
1881,ぎょうざ,1881,ぎょうざ,12,1:1
1891,混ぜごはんのもと,1891,混ぜごはんのもと,2,1:1
1902,緑茶,1902,緑茶,14,1:1
1911,紅茶,1911,紅茶,3,1:1
1914,茶飲料,1914,茶飲料,18,1:1
1921,インスタントコーヒー,1921,インスタントコーヒー,8,1:1
1922,コーヒー豆,1922,コーヒー豆,8,1:1
1923,コーヒー飲料,1923,コーヒー飲料Ａ,13,renamed
,,1924,コーヒー飲料Ｂ,3,new
1930,果実ジュース,1930,果実ジュース,9,1:1
1931,果汁入り飲料,1931,果汁入り飲料,7,1:1
1941,野菜ジュース,1941,野菜ジュース,13,1:1
1951,炭酸飲料,1951,炭酸飲料,17,1:1
1971,乳酸菌飲料Ａ,,,0,abolished
1972,乳酸菌飲料Ｂ,1972,乳酸菌飲料,13,renamed
1981,スポーツドリンク,1981,スポーツドリンク,5,1:1
1982,ミネラルウォーター,1982,ミネラルウォーター,11,1:1
,,1983,豆乳,4,new
2003,清酒,2003,清酒,18,1:1
2011,焼ちゅう,2011,焼酎,20,renamed
2012,チューハイ,2012,チューハイ,6,1:1
2021,ビール,2021,ビール,33,1:1
2026,発泡酒,2026,発泡酒,8,1:1
2027,ビール風アルコール飲料,2027,ビール風アルコール飲料,20,1:1
2033,ウイスキー,2033,ウイスキー,5,1:1
2041,ワイン,2041,ワイン（国産品）,3,renamed
2042,ワイン（輸入品）,2042,ワイン（輸入品）,7,1:1
2101,うどん,2101,うどん（外食）,15,renamed
2102,中華そば,2102,中華そば（外食）,30,renamed
,,2103,日本そば（外食）,15,new
2111,＊沖縄そば,2111,＊沖縄そば（外食）,1,renamed
2112,スパゲッティ（外食）,2112,スパゲッティ（外食）,11,1:1
2121,すしＢ,2121,すし（外食）Ｂ,44,renamed
2123,すしＡ,2123,すし（外食）Ａ,24,renamed
2131,親子どんぶり,,,0,abolished
2132,天どん,2132,天丼（外食）,18,renamed
2133,カレーライス,2133,カレーライス（外食）,20,renamed
2134,ぎょうざ（外食）,2134,ぎょうざ（外食）,23,1:1
2135,ハンバーガー,2135,ハンバーガー（外食）,15,renamed
2136,牛どん,2136,牛丼（外食）,13,renamed
2141,ハンバーグ,2141,ハンバーグ（外食）,29,renamed
2142,フライ,2142,豚カツ定食（外食）,27,renamed
2143,お子様ランチ,,,0,abolished
2144,ピザパイ,2144,ピザパイ（配達）,8,renamed
2145,焼肉,2145,焼肉（外食）,57,renamed
,,2146,しょうが焼き定食（外食）,28,new
2161,サンドイッチ,2161,サンドイッチ（外食）,15,renamed
2162,コーヒー,2162,コーヒー（外食）Ａ,13,renamed
2163,ドーナツ,2163,ドーナツ（外食）,4,renamed
