code_2015,name_2015,weight_2015,code_2020,name_2020,weight_2020,relation
1001,うるち米Ａ,25,1001,うるち米Ａ,23,1:1
1002,うるち米Ｂ,34,1002,うるち米Ｂ,39,1:1
1021,食パン,30,1021,食パン,32,1:1
1022,あんパン,30,1022,あんパン,35,1:1
1023,カレーパン,24,1023,カレーパン,18,1:1
1031,ゆでうどん,10,1031,ゆでうどん,10,1:1
1041,干しうどん,7,1041,そうめん,6,1:1
1042,スパゲッティ,3,1042,スパゲッティ,4,1:1
1051,カップ麺,16,1051,カップ麺,20,1:1
1052,中華麺,11,1052,中華麺,12,1:1
1071,小麦粉,4,1071,小麦粉,3,1:1
1081,もち,11,1081,もち,7,1:1
1101,まぐろ,23,1101,まぐろ,22,1:1
1102,あじ,6,1102,あじ,4,1:1
1103,いわし,3,1103,いわし,2,1:1
1104,かつお,7,1104,かつお,6,1:1
1106,さけ,19,1106,さけ,21,1:1
1107,さば,5,1107,さば,4,1:1
1108,さんま,5,1108,さんま,3,1:1
1110,たい,5,1110,たい,4,1:1
1111,ぶり,14,1111,ぶり,12,1:1
1112,いか,9,1112,いか,7,1:1
1113,たこ,5,1113,たこ,5,1:1
1114,えび,13,1114,えび,12,1:1
1131,あさり,4,1131,あさり,3,1:1
1132,かき（貝）,3,1132,かき（貝）,2,1:1
1133,ほたて貝,3,1133,ほたて貝,3,1:1
1141,塩さけ,11,1141,塩さけ,10,1:1
1142,たらこ,11,1142,たらこ,9,1:1
1143,しらす干し,7,1143,しらす干し,7,1:1
1144,干しあじ,4,1144,干しあじ,3,1:1
1146,煮干し,2,1146,煮干し,2,1:1
1150,ししゃも,2,1150,ししゃも,2,1:1
1151,揚げかまぼこ,8,1151,揚げかまぼこ,7,1:1
1152,ちくわ,6,1152,ちくわ,5,1:1
1153,かまぼこ,10,1153,かまぼこ,10,1:1
1161,かつお節,3,1161,かつお節,3,1:1
1165,魚介漬物,11,1165,魚介漬物,11,1:1
1166,魚介つくだ煮,4,1166,魚介つくだ煮,4,1:1
1167,いくら,4,1167,いくら,4,1:1
1173,魚介缶詰,9,1173,魚介缶詰,11,1:1
1201,牛肉（国産品）,43,1201,牛肉（国産品）,39,1:1
1203,牛肉（輸入品）,18,1203,牛肉（輸入品）,26,1:1
1211,豚肉Ａ,43,1211,豚肉（国産品）,54,1:1
