usage_month_start,usage_month_end,subsidy_yen_per_kwh,note
2023-01,2023-08,7.0,Price stabilization (low voltage)
2023-09,2023-09,3.5,Phase-down
2023-10,2024-04,3.5,Continued
2024-05,2024-07,0.0,Subsidy ended
2024-08,2024-10,4.0,Heat wave subsidy
2024-11,2024-12,2.5,Phase-down
2025-01,2025-02,2.5,Winter support
2025-03,2025-03,1.3,Winter support (Mar half)
2025-04,2025-06,0.0,Subsidy ended (spring gap)
2025-07,2025-07,2.0,Summer support
2025-08,2025-08,2.4,Summer support (Aug increased)
2025-09,2025-09,2.0,Summer support
2025-10,2025-10,0.0,Subsidy ended (autumn gap)
2025-11,2025-12,2.5,Winter emergency subsidy
2026-01,2026-03,2.5,Winter support
