year_month,counterfactual_price,retail_price,subsidy_total
2022-01,115,115,0
2022-02,118,116,2
2022-03,140,116,24
2022-04,156,116,40
2022-05,154,115,39
2022-06,154,114,40
2022-07,154,114,40
2022-08,150,112,38
2022-09,148,112,36
2022-10,146,112,34
2022-11,142,112,30
2022-12,140,112,28
2023-01,138,112,26
2023-02,136,112,24
2023-03,134,112,22
2023-04,132,112,20
2023-05,132,112,20
2023-06,130,112,18
2023-07,134,114,20
2023-08,144,118,26
2023-09,152,124,28
2023-10,148,120,28
2023-11,142,116,26
2023-12,140,116,24
2024-01,140,118,22
2024-02,140,118,22
2024-03,140,118,22
2024-04,140,118,22
2024-05,142,118,24
2024-06,140,118,22
2024-07,142,118,24
2024-08,140,118,22
2024-09,138,118,20
2024-10,138,118,20
2024-11,138,118,20
2024-12,140,118,22
2025-01,144,124,20
2025-02,146,128,18
2025-03,146,128,18
2025-04,148,130,18
2025-05,146,128,18
2025-06,142,124,18
2025-07,144,124,20
2025-08,144,124,20
2025-09,144,126,18
2025-10,144,126,18
2025-11,144,124,20
2025-12,142,122,20
2026-01,140,122,18
2026-02,142,124,18
