policy,item_code,base_year,adjustment_type,effective_from,effective_to,parameter,source
高校無償化（公立）制度変更,8020,,step,2024-04,,6.7,CPI指数段差(99.5→92.8)
高校無償化（公立）所得制限撤廃,8020,,step,2025-04,,87.3,CPI指数段差(92.8→5.5)
高校無償化（私立）支援拡充2020,8030,,step,2020-04,,8.6,CPI指数段差(106.4→97.9)
高校無償化（私立）支援拡充2024,8030,,step,2024-04,,11.9,CPI指数段差(102.6→90.7)
高校無償化（私立）所得制限撤廃,8030,,step,2025-04,,9.7,CPI指数段差(90.7→81.1)
高等教育修学支援（国立大学）,8040,,step,2020-04,,7.1,CPI指数段差(105.3→98.2)
高等教育修学支援（私立大学）,8060,,step,2020-04,,5.0,CPI指数段差(103.8→98.7)
高等教育修学支援（短大）,8070,,step,2020-04,,5.1,CPI指数段差(103.8→98.7)
高等教育修学支援（専修学校）,8077,,step,2020-04,,9.1,CPI指数段差(106.8→97.7)
多子世帯保育無償化拡充,9921,,step,2025-09,,7.2,CPI指数段差(95.6→88.3)
幼保無償化（公立幼稚園）,8080,2015,step,2019-10,,115.7,2015年基準のみ。115.7→0.0
幼保無償化（私立幼稚園）,8090,2015,step,2019-10,,92.8,2015年基準のみ。97.7→4.9
幼保無償化（保育所保育料）,9921,2015,step,2019-10,,56.6,2015年基準のみ。97.5→40.9
携帯電話通信料引下げ,7430,,hold_and_step,2021-04,2022-03,,保合区間。段差は自動計算(急落前-年度末)
GoToトラベル,9300,,trend_extend,2022-10,2023-06,,全国旅行支援期間。前年同月トレンドで延長
GoToトラベル2020,9300,2015,trend_extend,2020-08,2020-12,,GoToトラベル期間。前年同月トレンドで延長
暫定税率廃止（ガソリン）,7301,,tax_restore,2026-01,,27.61,25.1円×1.1(消費税込み)
