item_name,category,detail,note
民営家賃,exempt,,消費税法非課税
公営家賃,exempt,,
都市再生機構・公社家賃,exempt,,
持家の帰属家賃,exempt,,
火災保険料,exempt,,
診療代,exempt,,
出産入院料,exempt,,
自動車免許手数料,exempt,,
自動車保険料（自賠責）,exempt,,
自動車保険料（任意）,exempt,,
私立中学校授業料,exempt,,
公立高校授業料,exempt,,
私立高校授業料,exempt,,
国立大学授業料,exempt,,
私立大学授業料,exempt,,
私立短期大学授業料,exempt,,
公立幼稚園保育料,exempt,,
私立幼稚園保育料,exempt,,
専門学校授業料,exempt,,
教科書,exempt,,
傷害保険料,exempt,,
保育所保育料,exempt,,
介護料,exempt,,
印鑑証明手数料,exempt,,
戸籍抄本手数料,exempt,,
パスポート取得料,exempt,,
外国パック旅行,exempt,,大部分が国外取引
ＰＴＡ会費（小学校）,exempt,,対価性なし
ＰＴＡ会費（中学校）,exempt,,
電気代,trans1,,改定当月旧税率、翌月以降新税率
都市ガス代,trans1,,
プロパンガス,trans1,,
水道料,trans1,,
下水道料,trans1,,
し尿処理手数料,trans1,,
固定電話通信料,trans2,2/3,改定当月にウエイト2/3が新税率
携帯電話通信料,trans2,3/4,改定当月にウエイト3/4が新税率
温風ヒーター,seasonal1,Sep-Feb,改定当月非調査(冬物)
電気カーペット,seasonal1,Sep-Feb,
毛布,seasonal1,Sep-Feb,冬物として扱う
背広服（冬物，中級品）,seasonal1,Sep-Feb,
背広服（冬物，普通品）,seasonal1,Sep-Feb,
男子上着,seasonal1,Sep-Feb,
男子ズボン（冬物）,seasonal1,Sep-Feb,
男子コート,seasonal1,Sep-Feb,
男子学生服,seasonal1,Sep-Feb,
婦人スーツ（秋冬物，中級品）,seasonal1,Sep-Feb,
婦人スーツ（秋冬物，普通品）,seasonal1,Sep-Feb,
ワンピース（秋冬物）,seasonal1,Sep-Feb,
婦人上着,seasonal1,Sep-Feb,
スカート（秋冬物）,seasonal1,Sep-Feb,
婦人スラックス（冬物）,seasonal1,Sep-Feb,
婦人コート,seasonal1,Sep-Feb,
女子学生服,seasonal1,Sep-Feb,
ワイシャツ（半袖）,seasonal1,May-Sep,
スポーツシャツ（長袖）,seasonal1,Sep-Feb,
男子セーター,seasonal1,Sep-Feb,
ブラウス（長袖）,seasonal1,Sep-Feb,
婦人Ｔシャツ（長袖）,seasonal1,Sep-Feb,
婦人セーター（長袖）,seasonal1,Sep-Feb,
子供Ｔシャツ（長袖）,seasonal1,Sep-Feb,
マフラー,seasonal1,Sep-Feb,
予防接種料,seasonal1,Oct-Dec,
学習机,seasonal1,Jan-Mar,
筆入れ,seasonal1,Jan-Mar,
通学用かばん,seasonal1,Jan-Mar,
背広服（夏物，中級品）,seasonal2,Mar-Aug,改定月以前から継続調査
背広服（夏物，普通品）,seasonal2,Mar-Aug,
男子ズボン（夏物）,seasonal2,Mar-Aug,
婦人スーツ（春夏物，中級品）,seasonal2,Mar-Aug,
婦人スーツ（春夏物，普通品）,seasonal2,Mar-Aug,
ワンピース（春夏物）,seasonal2,Mar-Aug,
スカート（春夏物）,seasonal2,Mar-Aug,
男子パジャマ,seasonal2,Mar-Aug,
