year_month,adj_with_subsidy,adj_without_subsidy,subsidy_per_m3
2020-01,-8,-8,0
2020-02,-8,-8,0
2020-03,-9,-9,0
2020-04,-10,-10,0
2020-05,-12,-12,0
2020-06,-14,-14,0
2020-07,-15,-15,0
2020-08,-15,-15,0
2020-09,-14,-14,0
2020-10,-12,-12,0
2020-11,-10,-10,0
2020-12,-9,-9,0
2021-01,-8,-8,0
2021-02,-7,-7,0
2021-03,-6,-6,0
2021-04,-5,-5,0
2021-05,-4,-4,0
2021-06,-3,-3,0
2021-07,-2,-2,0
2021-08,-1,-1,0
2021-09,0,0,0
2021-10,3,3,0
2021-11,8,8,0
2021-12,15,15,0
2022-01,22,22,0
2022-02,28,28,0
2022-03,32,32,0
2022-04,38,38,0
2022-05,42,42,0
2022-06,45,45,0
2022-07,48,48,0
2022-08,50,50,0
2022-09,52,52,0
2022-10,52,52,0
2022-11,50,50,0
2022-12,48,48,0
2023-01,45,45,0
2023-02,42,42,0
2023-03,38,38,0
2023-04,35,35,0
2023-05,32,32,0
2023-06,28,28,0
2023-07,24,24,0
2023-08,20,20,0
2023-09,18,18,0
2023-10,16,16,0
2023-11,14,14,0
2023-12,12,12,0
2024-01,10,10,0
2024-02,8,8,0
2024-03,6,6,0
2024-04,5,5,0
2024-05,5,5,0
2024-06,4,4,0
2024-07,3,3,0
2024-08,2,2,0
2024-09,1,1,0
2024-10,0,0,0
2024-11,-1,-1,0
2024-12,-2,-2,0
2025-01,-4,-4,0
2025-02,-6,-6,0
2025-03,-6,-6,0
2025-04,-4,-4,0
2025-05,-3,-3,0
2025-06,-4,-4,0
2025-07,-5,-5,0
2025-08,-8,-8,0
2025-09,-9,-9,0
2025-10,-9,-9,0
2025-11,-6,-6,0
2025-12,-6,-6,0
2026-01,-7,-7,0
2026-02,-11,-11,0
2026-03,-11,-11,0
