類・品目,総合,財,農水畜産物,生鮮商品,他の農水畜産物,工業製品,食料工業製品,繊維製品,石油製品,他の工業製品,電気・都市ガス・水道,出版物,サービス,公共サービス,公営・都市再生機構・公社家賃,家事関連サービス,医療・福祉関連サービス,運輸・通信関連サービス,教育関連サービス,教養娯楽関連サービス,一般サービス,外食,民営家賃,持家の帰属家賃,他のサービス,家事関連サービス,医療・福祉関連サービス,教育関連サービス,通信・教養娯楽関連サービス,米類,耐久消費財,半耐久消費財,非耐久消費財,公共料金,生鮮食品を除く財,持家の帰属家賃を除くサービス,民営家賃（木造）,民営家賃（非木造）,持家の帰属家賃（木造）,持家の帰属家賃（非木造）,総合（季節調整済）,生鮮食品を除く総合（季節調整済）,持家の帰属家賃を除く総合（季節調整済）,持家の帰属家賃及び生鮮食品を除く総合（季節調整済）,食料（酒類を除く）及びエネルギーを除く総合（季節調整済）,財（季節調整済）,半耐久消費財（季節調整済）,生鮮食品を除く財（季節調整済）
Group/Item,All items,Goods,"Agricultural, aquatic & livestock products","Fresh food, raw meats & cut flowers","Other agricultural, aquatic & livestock products",Industrial products,Food products,Textiles,Petroleum products,Other industrial products,"Electricity, manufactured & piped gas & water charges",Publications,Services,Public services,"House rent, public, Urban Renaissance Agency & public corporation",Services related to domestic duties,Services related to medical care & welfare,Services related to forwarding & communication,Services related to education,Services related to culture & recreation,General services ,Meals outside the home,"House rent, private",Imputed rent,Other services,Services related to domestic duties,Services related to medical care & welfare,Services related to education,"Services related to communication, culture & recreation",Rice,Durable goods,Semi-durable goods,Non-durable goods,Fees for public services,"Goods, less fresh food","Services, less imputed rent","House rent, private (wooden)","House rent, private (non-wooden)",Imputed rent (wooden),Imputed rent (non-wooden),"All items, seasonally adjusted","All items, less fresh food, seasonally adjusted","All items, less imputed rent, seasonally adjusted","All items, less imputed rent & fresh food, seasonally adjusted","All items, less food (less alcoholic beverages) and energy, seasonally adjusted","Goods, seasonally adjusted","Semi-durable goods, seasonally adjusted","Goods, less fresh food, seasonally adjusted"
類・品目符号(Group/Item code),0201,0202,0203,0204,0205,0207,0208,0211,0214,0215,0218,0219,0220,0221,0222,0223,0224,0225,0226,0227,0228,0229,0230,0231,0232,0233,0234,0235,0236,0206,0237,0238,0239,0240,0241,0242,0245,0246,0247,0248,0901,0902,0903,0904,0905,0921,0922,0923
含類総連番(Serial number),751,752,753,754,755,756,757,758,759,760,761,762,763,764,765,766,767,768,769,770,771,772,773,774,775,776,777,778,779,780,781,782,783,784,785,786,787,788,789,790,791,792,793,794,795,796,797,798
ウエイト(Weight),3157986390,1557166225,217662803,192926855,24735948,1130164153,422235610,127210639,113517510,467200394,161749103,47590166,1600820165,379050071,12499014,143571381,82009921,104024876,6907306,30037573,1221770094,168111926,84334656,492151476,477172036,137975396,8266245,95854840,235075555,24018140,208409041,226688700,1122068484,558753827,1432145904,1108668689,,,,,,,,,,,,
ウエイト１万分比(Weight per 10000),10000,4931,689,611,78,3579,1337,403,359,1479,512,151,5069,1200,40,455,260,329,22,95,3869,532,267,1558,1511,437,26,304,744,76,660,718,3553,1769,4535,3511,,,,,,,,,,,,
197001,31.9,38.8,34.7,33.4,43.6,41.1,32.4,31.2,31.3,72.0,45.4,21.7,24.3,26.6,19.7,46.1,32.8,38.5,16.2,34.7,23.4,24.2,30.8,26.3,19.3,20.6,,11.2,26.1,44.4,155.4,,,35.1,40.2,23.5,,,,,,,,,,,,
197002,32.0,39.0,35.2,34.1,43.7,41.0,32.5,31.1,31.4,72.1,45.4,21.8,24.6,27.3,19.8,46.2,36.0,38.5,16.2,34.7,23.5,24.2,31.0,26.4,19.4,20.7,,11.2,26.1,44.5,155.4,,,35.6,40.2,23.7,,,,,,,,,,,,
197003,32.3,39.4,36.2,35.4,43.7,41.1,32.6,31.2,31.5,72.3,45.4,21.7,24.7,27.5,19.8,46.4,36.0,38.6,16.2,34.7,23.6,24.4,31.2,26.7,19.4,20.9,,11.2,26.1,44.5,155.4,,,35.6,40.3,23.9,,,,,,,,,,,,
197004,32.6,39.7,36.4,35.7,43.7,41.4,32.7,31.7,31.7,72.6,45.5,21.8,25.0,27.6,20.0,46.5,36.0,38.7,16.4,34.7,24.1,24.7,31.5,26.9,20.1,21.1,,11.7,26.6,44.5,155.8,,,35.7,40.5,24.3,,,,,,,,,,,,
197005,32.5,39.4,34.8,33.5,43.9,41.7,32.9,32.1,31.6,72.7,45.4,21.8,25.1,27.6,20.1,46.6,36.0,38.7,16.4,34.7,24.2,24.9,31.7,27.1,20.1,21.4,,11.7,26.7,44.6,155.8,,,35.7,40.7,24.4,,,,,,,,,,,,
